Configuration,Train Loss,Train Acc,Val Loss,Val Acc,Best Epoch
"Baseline (ReLU, default)",0.3237289488315582,0.8759545683860779,0.34299415349960327,0.8692277669906616,48
ELU default,0.3315473794937134,0.8736756443977356,0.3360859751701355,0.8729033470153809,50
ELU deeper/wider,0.32821905612945557,0.8788172006607056,0.3459416627883911,0.8729220032691956,50
ELU with Dropout,0.35275742411613464,0.8629446625709534,0.33551761507987976,0.8720824122428894,50
ELU high L2 reg,0.3425300717353821,0.8685740232467651,0.3375484049320221,0.8707950115203857,50
ELU low learning rate,0.3669613301753998,0.8722602725028992,0.3700398802757263,0.8723062872886658,50
